"denominazione_regione","anno","residenti"
"Abruzzo",2020,2587882
"Abruzzo",2021,2562024
"Abruzzo",2022,2547320
"Basilicata",2020,1106508
"Basilicata",2021,1090260
"Basilicata",2022,1079998
"Calabria",2020,3788220
"Calabria",2021,3721202
"Calabria",2022,3689172
"Campania",2020,11424286
"Campania",2021,11248520
"Campania",2022,11181362
"Emilia-Romagna",2020,8928238
"Emilia-Romagna",2021,8877874
"Emilia-Romagna",2022,8863632
"Friuli-Venezia Giulia",2020,2412432
"Friuli-Venezia Giulia",2021,2403020
"Friuli-Venezia Giulia",2022,2394590
"Lazio",2020,11511400
"Lazio",2021,11460798
"Lazio",2022,11430380
"Liguria",2020,3049652
"Liguria",2021,3036990
"Liguria",2022,3014876
"Lombardia",2020,20055204
"Lombardia",2021,19963108
"Lombardia",2022,19930092
"Marche",2020,3025344
"Marche",2021,2996472
"Marche",2022,2979578
"Molise",2020,601032
"Molise",2021,588588
"Molise",2022,581538
"Piemonte",2020,8622434
"Piemonte",2021,8549890
"Piemonte",2022,8504558
"Puglia",2020,7906610
"Puglia",2021,7867554
"Puglia",2022,7824332
"Sardegna",2020,3223242
"Sardegna",2021,3180088
"Sardegna",2022,3158362
"Sicilia",2020,9750580
"Sicilia",2021,9667410
"Sicilia",2022,9602936
"Toscana",2020,7385110
"Toscana",2021,7385730
"Toscana",2022,7352570
"Trentino-Alto Adige",2020,2156138
"Trentino-Alto Adige",2021,2154156
"Trentino-Alto Adige",2022,2155864
"Umbria",2020,1740330
"Umbria",2021,1730904
"Umbria",2022,1719144
"Valle d'Aosta",2020,500136
"Valle d'Aosta",2021,496356
"Valle d'Aosta",2022,493348
"Veneto",2020,9758266
"Veneto",2021,9739660
"Veneto",2022,9709266
